ค่าย,ประเภทแพ็กเกจ,ชื่อแพ็กเกจ, ค่าบริการ ,หน่วยราคา,โทรในเครือข่าย,โทรนอกเครือข่าย,เงื่อนไขโทร,ปริมาณเน็ต,ความเร็วเน็ตสูงสุด,Wifi,ส่วนเกินค่าโทรในเครือข่าย,ส่วนเกินค่าโทรนอกเครือข่าย,ส่วนเกินค่าเน็ต,SMS,MMS,ส่วนเกินSMS ,ส่วนเกินMMS ,ของแถม,เงื่อนไขเพิ่มเติม,Type,price,baht,call,min,netcapacity,gb,speed,mbps
AIS,รายเดือน,5G Max Speed,"1,999",บาท/เดือน,ไม่จำกัด,600 นาที,,ไม่จำกัด,1 Gbps,AIS Super Wifi (ไม่จำกัด), - , 1.5 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"ซิมการ์ด 5G พร้อมเน็ต 50 GB (12 รอบบิล) 4 SIM, PLAY Premium 3 เดือน, Youtube Premium 4 เดือน, AIS 5G PLAY VR 12 เดือน, AIS 5G PLAY AR 12 เดือน, AIS 5G Cloud game 3 เดือน, ฟรี AIS 5G VR Port มูลค่า 690 บ., Google One 100 GB 6 เดือน",โทรฟรีสูงสุดครั้งละ 1 ชม. ,5G,1999,,600,,9999,,1000,
AIS,รายเดือน,5G Max Speed,"1,699",บาท/เดือน,ไม่จำกัด,400 นาที,,ไม่จำกัด,1 Gbps,AIS Super Wifi (ไม่จำกัด), - , 1.5 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"ซิมการ์ด 5G พร้อมเน็ต 50 GB (12 รอบบิล) 3 SIM, PLAY Premium 3 เดือน, Youtube Premium 4 เดือน, AIS 5G PLAY VR 12 เดือน, AIS 5G PLAY AR 12 เดือน, AIS 5G Cloud game 3 เดือน, ฟรี AIS 5G VR Port มูลค่า 690 บ., Google One 100 GB 6 เดือน",โทรฟรีสูงสุดครั้งละ 1 ชม. ,5G,1699,,400,,9999,,1000,
AIS,รายเดือน,5G Max Speed,"1,399",บาท/เดือน,ไม่จำกัด,250 นาที,,ไม่จำกัด,1 Gbps,AIS Super Wifi (ไม่จำกัด), - , 1.5 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"ซิมการ์ด 5G พร้อมเน็ต 50 GB (12 รอบบิล) 2 SIM, PLAY Premium 3 เดือน, Youtube Premium 4 เดือน, AIS 5G PLAY VR 12 เดือน, AIS 5G PLAY AR 12 เดือน, AIS 5G Cloud game 3 เดือน, ฟรี AIS 5G VR Port มูลค่า 690 บ., Google One 100 GB 6 เดือน",โทรฟรีสูงสุดครั้งละ 1 ชม. ,5G,1399,,250,,9999,,1000,
AIS,รายเดือน,5G Max Speed,"1,199",บาท/เดือน,ไม่จำกัด,150 นาที,,ไม่จำกัด,1 Gbps,AIS Super Wifi (ไม่จำกัด), - , 1.5 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"ซิมการ์ด 5G พร้อมเน็ต 50 GB (12 รอบบิล) 1 SIM, PLAY Premium 3 เดือน, Youtube Premium 4 เดือน, AIS 5G PLAY VR 12 เดือน, AIS 5G PLAY AR 12 เดือน, AIS 5G Cloud game 3 เดือน, ฟรี AIS 5G VR Port, Google One 100 GB 6 เดือน",โทรฟรีสูงสุดครั้งละ 1 ชม. ,5G,1199,,150,,9999,,1000,
AIS,รายเดือน,5G Max Speed,899,บาท/เดือน,ไม่จำกัด,70 นาที,,80 GB,1 Gbps,AIS Super Wifi (ไม่จำกัด), - , 1.5 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"PLAY Premium 3 เดือน, Youtube Premium 4 เดือน, AIS 5G PLAY VR 6 เดือน, AIS 5G PLAY AR 6 เดือน, AIS 5G Cloud game 3 เดือน, ส่วนลด AIS 5G VR Port 20% เหลือ 550 บ., Google One 100 GB 6 เดือน","โทรฟรีสูงสุดครั้งละ 1 ชม., หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 384 Kbps",5G,899,,70,,80,,1000,
AIS,รายเดือน,5G Max Speed,699,บาท/เดือน,ไม่จำกัด,50 นาที,,50 GB,1 Gbps,AIS Super Wifi (ไม่จำกัด), - , 1.5 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"PLAY Premium 3 เดือน, Youtube Premium 4 เดือน, AIS 5G PLAY VR 12 เดือน, AIS 5G PLAY AR 12 เดือน, AIS 5G Cloud game 3 เดือน,  ส่วนลด AIS 5G VR Port 20% เหลือ 550 บ., Google One 100 GB 3 เดือน","โทรฟรีสูงสุดครั้งละ 1 ชม., หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 384 Kbps",5G,699,,50,,50,,1000,
AIS,รายเดือน,5G Max Speed,599,บาท/เดือน,300 นาที ,300 นาที ,(ทุกเครือข่าย),16 GB,1 Gbps,AIS Super Wifi (ไม่จำกัด), 1.5 บ./นาที , 1.5 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"PLAY Family 6 เดือน, Youtube Premium 3 เดือน",หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 384 Kbps,4G/3G,599,,300,,16,,1000,
AIS,รายเดือน,5G Max Speed,499,บาท/เดือน,200 นาที ,200 นาที ,(ทุกเครือข่าย),10 GB,1 Gbps,AIS Super Wifi (ไม่จำกัด), 1.5 บ./นาที , 1.5 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"PLAY Family 6 เดือน, Youtube Premium 3 เดือน",หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 384 Kbps,4G/3G,499,,200,,10,,1000,
AIS,รายเดือน,5G Max Speed,399,บาท/เดือน,150 นาที ,150 นาที ,(ทุกเครือข่าย),5 GB,1 Gbps,AIS Super Wifi (ไม่จำกัด), 1.5 บ./นาที , 1.5 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"PLAY Family 6 เดือน, Youtube Premium 3 เดือน",หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 384 Kbps,4G/3G,399,,150,,5,,1000,
AIS,รายเดือน,5G Max Speed,299,บาท/เดือน,100 นาที ,100 นาที ,(ทุกเครือข่าย),1.5 GB,1 Gbps,AIS Super Wifi (ไม่จำกัด), 1.5 บ./นาที , 1.5 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"PLAY Family 6 เดือน, Youtube Premium 3 เดือน",หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps,4G/3G,299,,100,,1.5,,1000,
AIS,รายเดือน,NEXT G Flexi Speed,750,บาท/เดือน,100 นาที ,100 นาที ,(ทุกเครือข่าย),50 GB,"300 Mbps, 8 Mbps, 4 Mbps, 2 Mbps (ปรับเปลี่ยนได้)",AIS Super Wifi (ไม่จำกัด), 1.5 บ./นาที , 1.5 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,Youtube Premium 4 เดือน,หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 384 Kbps,4G/3G,750,,100,,50,,300,
AIS,รายเดือน,NEXT G Flexi Speed,550,บาท/เดือน,100 นาที ,100 นาที ,(ทุกเครือข่าย),30 GB,"300 Mbps, 8 Mbps, 4 Mbps, 2 Mbps (ปรับเปลี่ยนได้)",AIS Super Wifi (ไม่จำกัด), 1.5 บ./นาที , 1.5 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,Youtube Premium 3 เดือน,หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 256 Kbps,4G/3G,550,,100,,30,,300,
AIS,รายเดือน,NEXT G Flexi Speed,450,บาท/เดือน,100 นาที ,100 นาที ,(ทุกเครือข่าย),15 GB,"300 Mbps, 8 Mbps, 4 Mbps, 2 Mbps (ปรับเปลี่ยนได้)",AIS Super Wifi (ไม่จำกัด), 1.5 บ./นาที , 1.5 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,Youtube Premium 3 เดือน,หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 256 Kbps,4G/3G,450,,100,,15,,300,
AIS,รายเดือน,Net Extreme,"1,099",บาท/เดือน,-,-,,ไม่จำกัด,300 Mbps,AIS Super Wifi (ไม่จำกัด), 1.5 บ./นาที , 1.5 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"ลูกค้าปัจจุบันเปิดเบอร์ใหม่เพิ่มได้เน็ตฟรี 5 GB 6 เดือน, AIS PLAY 6 เดือน (ไม่คิดค่าเน็ต), PLAY Family 6 เดือน (ไม่คิดค่าเน็ต), Youtube Premium 4 เดือน",หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps,4G/3G,1099,,0,,9999,,300,
AIS,รายเดือน,Net Extreme,999,บาท/เดือน,-,-,,24 GB,300 Mbps,AIS Super Wifi (ไม่จำกัด), 1.5 บ./นาที , 1.5 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"ลูกค้าปัจจุบันเปิดเบอร์ใหม่เพิ่มได้เน็ตฟรี 5 GB 6 เดือน, AIS PLAY 6 เดือน (ไม่คิดค่าเน็ต), PLAY Family 6 เดือน (ไม่คิดค่าเน็ต), Youtube Premium 4 เดือน",หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps,4G/3G,999,,0,,24,,300,
AIS,รายเดือน,Net Extreme,799,บาท/เดือน,-,-,,18 GB,300 Mbps,AIS Super Wifi (ไม่จำกัด), 1.5 บ./นาที , 1.5 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"ลูกค้าปัจจุบันเปิดเบอร์ใหม่เพิ่มได้เน็ตฟรี 5 GB 6 เดือน, AIS PLAY 6 เดือน (ไม่คิดค่าเน็ต), PLAY Family 6 เดือน (ไม่คิดค่าเน็ต), Youtube Premium 4 เดือน",หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps,4G/3G,799,,0,,18,,300,
AIS,รายเดือน,Net Extreme,599,บาท/เดือน,-,-,,12 GB,300 Mbps,AIS Super Wifi (ไม่จำกัด), 1.5 บ./นาที , 1.5 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"ลูกค้าปัจจุบันเปิดเบอร์ใหม่เพิ่มได้เน็ตฟรี 5 GB 6 เดือน, AIS PLAY 6 เดือน (ไม่คิดค่าเน็ต), PLAY Family 6 เดือน (ไม่คิดค่าเน็ต), Youtube Premium 3 เดือน",หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps,4G/3G,599,,0,,12,,300,
AIS,รายเดือน,Net Extreme,499,บาท/เดือน,-,-,,8 GB,300 Mbps,AIS Super Wifi (ไม่จำกัด), 1.5 บ./นาที , 1.5 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"ลูกค้าปัจจุบันเปิดเบอร์ใหม่เพิ่มได้เน็ตฟรี 5 GB 6 เดือน, AIS PLAY 6 เดือน (ไม่คิดค่าเน็ต), PLAY Family 6 เดือน (ไม่คิดค่าเน็ต), Youtube Premium 3 เดือน",หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps,4G/3G,499,,0,,8,,300,
AIS,รายเดือน,Net Extreme,99,บาท/เดือน,-,-,,-,-,AIS Super Wifi (ไม่จำกัด), 1.5 บ./นาที , 1.5 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"ลูกค้าปัจจุบันเปิดเบอร์ใหม่เพิ่มได้เน็ตฟรี 4 GB 6 เดือน, Youtube Premium 3 เดือน","สำหรับลูกค้าเอไอเอส รายเดือนที่มีอายุการใช้งานมากกว่า 90 วัน,หากเบอร์ปัจจุบันมีการยกเลิก หรือโอนเปลี่ยนเจ้าของ แพ็กเกจ 99 บ. จะถูกเปลี่ยนเป็นแพ็กเกจ 4G Max Speed 299 บ. ในรอบบิลถัดไป, หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps",4G/3G,99,,0,,0,,0,
AIS,รายเดือน,iSecond,567,บาท/เดือน,"10,800 วินาที ","10,800 วินาที ",(ทุกเครือข่าย),1.5 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 3 สต./วินาที , 3 สต./วินาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,YouTube Premium 3 เดือน,"หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps, รับสิทธิ์นาน 12 รอบบิล, อัตราค่าบริการคิดตามการใช้งานจริงเป็นวินาที/รอบบิล",4G/3G,567,,180,,1.5,,9999,
AIS,รายเดือน,iSecond,345,บาท/เดือน,"4,800 วินาที ","4,800 วินาที ",(ทุกเครือข่าย),750 MB,Full Speed,AIS Super Wifi (ไม่จำกัด), 3 สต./วินาที , 3 สต./วินาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,YouTube Premium 3 เดือน,"หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps, รับสิทธิ์นาน 12 รอบบิล, อัตราค่าบริการคิดตามการใช้งานจริงเป็นวินาที/รอบบิล",4G/3G,345,,80,,0.75,,9999,
AIS,รายเดือน,คุยวินาที,730,บาท/เดือน,"54,000 วินาที ","54,000 วินาที ",(ทุกเครือข่าย),-,-,-, 0.16 บ./วินาที , 0.16 บ./วินาที ,0.90 บาท/MB,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,YouTube Premium 3 เดือน,อัตราค่าบริการคิดตามการใช้งานจริงเป็นวินาที/รอบบิล,4G/3G,730,,900,,0,,0,
AIS,รายเดือน,คุยวินาที,547,บาท/เดือน,"36,000 วินาที ","36,000 วินาที ",(ทุกเครือข่าย),-,-,-, 0.16 บ./วินาที , 0.16 บ./วินาที ,0.90 บาท/MB,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,YouTube Premium 3 เดือน,อัตราค่าบริการคิดตามการใช้งานจริงเป็นวินาที/รอบบิล,4G/3G,547,,600,,0,,0,
