รุ่นที่ร่วมรายการ ,"ราคาปกติ
"," ส่วนลดค่าเครื่อง
 ",OnTop, ชำระค่าเครื่อง ,ชำระค่าบริการรายเดือนล่วงหน้า,"โปรโมชั่นที่ร่วมรายการ
",สัญญาการใช้งาน,ขนาดจอ,หน่วยประมวลผล,RAM,ROM,กล้องถ่ายรูป,ความจุแบตเตอรี่,price,ค่าย
Redmi Note10 5G ,"6,999","6,509",-,490," 6,409.30
ค่าบริการชำระล่วงหน้า
599 บาท 10 เดือน 
ใช้เป็นส่วนลดเฉพาะค่าบริการรายเดือน ","5G VIP Pack 599 
(PP Code: SMRTGP28)",18,6.5 นิ้ว,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),4 GB,"128 GB, ความจุภายนอกสูงสุด microSCXC","ความละเอียด กล้องหลัง 48 Mpx, กล้องหน้า 8 Mpx",5000 mAh,490,Xiaomi
Redmi Note9T 5G ,"7,499","6,974",-,525," 6,409.30
ค่าบริการชำระล่วงหน้า
599 บาท 10 เดือน 
ใช้เป็นส่วนลดเฉพาะค่าบริการรายเดือน ","5G VIP Pack 599 
(PP Code: SMRTGP28)",18,6.53 นิ้ว,"MediaTek Dimensity 800U 5G (7nm), Octa-core 2x2.4 GHz Cortex-A76 & 6x2.0",4 GB,"64 GB, ความจุภายนอกสูงสุด microSCXC","ความละเอียด กล้องหลัง 48 Mpx, กล้องหน้า 13 Mpx",5000 mAh,525,Xiaomi
Realme 5G 4+ 128 ,"7,499","6,974",-,525," 6,409.30
ค่าบริการชำระล่วงหน้า
599 บาท 10 เดือน 
ใช้เป็นส่วนลดเฉพาะค่าบริการรายเดือน ","5G VIP Pack 599 
(PP Code: SMRTGP28)",18,6.5 นิ้ว,"ualcomm Snapdragon 665 AIE, Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)",4 GB,"128 GB, ความจุภายนอกสูงสุด Micro SD 256 GB","ความละเอียด กล้องหลัง 12 Mpx, กล้องหน้า 13 Mpx",5000 mAh,525,Realme
Vivo Y72 5G (6/128) ,"8,499","7,904",-,595," 8,549.30
ค่าบริการชำระล่วงหน้า
799 บาท 10 เดือน 
ใช้เป็นส่วนลดเฉพาะค่าบริการรายเดือน ","5G VIP Pack 799
 (PP Code: SMRTGP30)",18,6.58 นิ้ว,MediaTek Dimensity 700,8 GB,128 GB,"ความละเอียด กล้องหลัง 64 Mpx, กล้องหน้า 16 Mpx",5000 mAh,595,Vivo
Oppo A74 5G ,"8,999","8,369",-,630," 8,549.30
ค่าบริการชำระล่วงหน้า
799 บาท 10 เดือน 
ใช้เป็นส่วนลดเฉพาะค่าบริการรายเดือน ","5G VIP Pack 799
 (PP Code: SMRTGP30)",18,6.5 นิ้ว,Octa-core (2x2.2 GHz Kryo 460 & 61.8 GHz Kryo 460 & 6x1.8 GHz Kryo 460),6 GB,"64 GB, ความจุภายนอกสูงสุด microSCXC","ความละเอียด กล้องหลัง 48 Mpx, กล้องหน้า 16 Mpx",5000 mAh,630,Oppo
Realme 8 5G ,"9,999","9,299",-,700," 8,549.30
ค่าบริการชำระล่วงหน้า
799 บาท 10 เดือน 
ใช้เป็นส่วนลดเฉพาะค่าบริการรายเดือน ","5G VIP Pack 799
 (PP Code: SMRTGP30)",18,6.5 นิ้ว,Octa-core สูงสุด 2.2GHz,4GB/8GB LPDDR4X,"64GB/128GB UFS 2.1

เพิ่มการ์ดหน่วยความจำได้สูงสุดถึง 1 TB","ความละเอียด กล้องหลัง 48 Mpx, กล้องหน้า 16 Mpx",5000 mAh,700,Realme
Vivo Y72 5G ,"9,999","9,299",-,700," 8,549.30
ค่าบริการชำระล่วงหน้า
799 บาท 10 เดือน 
ใช้เป็นส่วนลดเฉพาะค่าบริการรายเดือน ","5G VIP Pack 799
 (PP Code: SMRTGP30)",18,6.58 นิ้ว,MediaTek Dimensity 700,8 GB,"128 GB, ความจุภายนอกสูงสุด Micro SD 256 GB","ความละเอียด กล้องหลัง 64 Mpx, กล้องหน้า 16 Mpx",5000 mAh,700,Vivo
Samsung Galaxy A32 5G ,"9,999","9,299",-,700," 8,549.30
ค่าบริการชำระล่วงหน้า
799 บาท 10 เดือน 
ใช้เป็นส่วนลดเฉพาะค่าบริการรายเดือน ","5G VIP Pack 799
 (PP Code: SMRTGP30)",18,6.5 นิ้ว,"MediaTek Dimensity 720 5G (7 nm), Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)",8 GB,"128 GB, ความจุภายนอกสูงสุด Micro SD 1000 GB","ความละเอียด กล้องหลัง 48 Mpx, กล้องหน้า 13 Mpx",5000 mAh,700,Samsung
Vivo V21 5G 128GB ,"12,999","12,089",-,910," 11,759.30
ค่าบริการชำระล่วงหน้า
1099 บาท 10 เดือน 
ใช้เป็นส่วนลดเฉพาะค่าบริการรายเดือน ","5G VIP Pack 1099
 (PP Code: SMRTGP32)",18,6.44 นิ้ว,MediaTek Dimensity 800U 5G,8 GB,"128 GB, ความจุภายนอกสูงสุด Micro SD ","ความละเอียด กล้องหลัง 64 Mpx, กล้องหน้า 44 Mpx",4000 mAh,910,Vivo
OPPO Reno5 5G ,"12,990","12,081",-,909," 11,759.30
ค่าบริการชำระล่วงหน้า
1099 บาท 10 เดือน 
ใช้เป็นส่วนลดเฉพาะค่าบริการรายเดือน ","5G VIP Pack 1099
 (PP Code: SMRTGP32)",18,6.43 นิ้ว,Qualcomm Snapdragon 765G,8 GB,128 GB,"ความละเอียด กล้องหลัง 64 Mpx, กล้องหน้า 32 Mpx",4300 mAh,909,Oppo
